model,macro_f1,balanced_accuracy,f1_light,f1_moderate-vigorous,f1_sedentary,f1_sleep
RF+HMM [BASELINE],0.8131899476802803,0.8130833304843874,0.750920170441529,0.692634683785894,0.8519826042466104,0.9572223322470879
ESN-E4_ESN_full,0.754984303297416,0.7313997756403045,0.6844717797870741,0.5459434596468882,0.8379565125606924,0.9515654611950093
ESN-E3_ESN_large,0.7536816063583487,0.7296641229442358,0.6811206010680413,0.5472612185720853,0.8352764592363998,0.9510681465568683
ESN-E2_ESN_medium,0.7530935388268157,0.728858655076216,0.6814977493524673,0.5478449347972852,0.8338863996226796,0.9491450715348307
Mamba-M1_Mamba_light_noaux,0.7330050679947756,0.7080183341651409,0.6535445752697743,0.48342406607846816,0.8355076925619971,0.9595439380688627
Mamba-M2_Mamba_light,0.7286278270065546,0.703554507536371,0.6563791910635641,0.46598911347112787,0.8358152809466566,0.9563277225448699
Mamba-M3_Mamba_medium,0.6897007351432581,0.6677477248252888,0.6906219541910331,0.42894321766561516,0.7783811781580573,0.8608565905583272
